facility_name,lat,lon,max_capacity,full_address,city,property_type
A&N Academic Montessori School Ltd.,49.20738,-122.91233,127.0,"529 Queens Ave, New Westminster, BC",New Westminster,Daycare
A-1 Daycare Centre,49.238267,-123.151991,279.0,"2001 37Th Ave W, Vancouver, BC",Vancouver,Daycare
A-1 Learning Centre,49.210129,-123.124516,283.0,"807 68Th Ave W, Vancouver, BC",Vancouver,Daycare
A-Z Little World Family Daycare,49.228343,-122.579874,290.0,"23193 124A Ave, Maple Ridge, BC",Maple Ridge,Daycare
A.L. Fortune Secondary,50.5583801,-119.1374917,500.0,"500 Bass Ave, Enderby, BC",Enderby,Elementary-Secondary Public School
A.R. MacNeill Secondary,49.1642535,-123.1169208,1200.0,"6611 No. 4 Rd, Richmond, BC",Richmond,Secondary Public School
A.Y Childcare Centre,49.254777,-122.584891,194.0,"22963 139 Ave, Maple Ridge, BC",Maple Ridge,Daycare
A1 Suncrest Daycare,49.212576,-123.013413,166.0,"7907 Suncrest Dr, Burnaby, BC",Burnaby,Daycare
A:Lmelhawtxw Early Education Centre,49.135923,-121.964377,208.0,"9-7201 Vedder Rd, Chilliwack, BC",Chilliwack,Daycare
AE Perry Elementary,50.7043101,-120.3764261,340.0,"1380 Sherbrooke Ave, Kamloops, BC",Kamloops,Elementary Public School
APEX,49.2501939,-122.8484198,,"1432 Brunette Ave, Coquitlam, BC",Coquitlam,Elementary Jr. Secondary Public School
ASIA - North Poplar,49.0385703,-122.3364461,265.0,"32041 Marshall Rd, Abbotsford, BC",Abbotsford,Elementary Public School
Aaa Juniors Childcare,49.111108,-122.855551,132.0,"13280 59A Ave, Surrey, BC",Surrey,Daycare
Aatse Davie School,57.4235737,-125.6309232,,"PO Box 79, Fort Ware, BC",Fort Ware,Elementary-Secondary Independent School
Ab-Early Learning,49.237136,-122.877705,250.0,"727 Henderson Ave, Coquitlam, BC",Coquitlam,Daycare
Abba Family Child Care,49.214805,-123.071092,229.0,"1769 61St Ave E, Vancouver, BC",Vancouver,Daycare
Abbotsford Childcare,49.039575,-122.290378,369.0,"2054 Cherry St, Abbotsford, BC",Abbotsford,Daycare
Abbotsford Christian School,49.0626341,-122.2537106,,"35011 Old Clayburn Rd, Abbotsford, BC",Abbotsford,Elementary-Secondary Independent School
Abbotsford Christian School Childcare Preschool & Seamless D,49.073426,-122.251149,232.0,"3939 Old Clayburn Rd, Abbotsford, BC",Abbotsford,Daycare
Abbotsford Middle School,49.0419739,-122.3031361,600.0,"33231 Bevan Ave, Abbotsford, BC",Abbotsford,Middle School Public School
Abbotsford School Of Integrated Arts,49.050254,-122.2191986,375.0,"36232 Lower Sumas Mtn Rd, Abbotsford, BC",Abbotsford,Elementary Public School
Abbotsford Senior Secondary School,49.0433316,-122.2996964,1100.0,"33355 Bevan  Ave, Abbotsford, BC",Abbotsford,Secondary Public School
Abbotsford Traditional School,49.043622,-122.3537508,750.0,"2272 Windsor St, Abbotsford, BC",Abbotsford,Elementary-Secondary Public School
Abbotsford Virtual School,49.0504386,-122.2833426,,"33952 Pine St, Abbotsford, BC",Abbotsford,Elementary-Secondary Public School
Abby Childcare Centre,49.050793,-122.329807,178.0,"2663 James St, Abbotsford, BC",Abbotsford,Daycare
Abby Good Beginnings,49.051695,-122.264989,239.0,"34641 Sandon Dr, Abbotsford, BC",Abbotsford,Daycare
Abby Junior Childcare Centre Inc.,49.061996,-122.355118,207.0,"3290 Wagner Dr, Abbotsford, BC",Abbotsford,Daycare
Abby Twinkle Stars Daycare Inc,49.066757,-122.318448,158.0,"32708 Haida Dr, Abbotsford, BC",Abbotsford,Daycare
Abc 123 Family Child Care,49.214568,-123.101446,261.0,"219 62Nd Ave E, Vancouver, BC",Vancouver,Daycare
Abc Academy - Children's Learning Center (Asc & Preschool),49.211861,-122.924241,137.0,"201-615 Eighth St, New Westminster, BC",New Westminster,Daycare
Abc Academy - Children's Learning Center Ltd,49.208586,-122.9203,303.0,"160-401 Eighth St, New Westminster, BC",New Westminster,Daycare
Abc Academy - Children's Learning Center Ltd - Burnaby,49.249642,-123.019081,255.0,"3830 Sunset St, Burnaby, BC",Burnaby,Daycare
Abc Academy-Children's Learning Center,49.221085,-122.914623,271.0,"37 8Th Ave, New Westminster, BC",New Westminster,Daycare
Abc Childcare,49.222728,-122.960214,252.0,"6938 Halligan St, Burnaby, BC",Burnaby,Daycare
Abc Childcare Centre,49.058304,-122.328778,220.0,"32340 Mouat Dr, Abbotsford, BC",Abbotsford,Daycare
Abc Christian Child Care Centre,49.250398,-124.792305,344.0,"3946 Wallace St, Port Alberni, BC",Port Alberni,Daycare
Abc Daycare,49.213345,-122.578891,214.0,"11633 232A St, Maple Ridge, BC",Maple Ridge,Daycare
Abc Family Daycare,49.333394,-123.066938,287.0,"246 26Th St E, North Vancouver, BC",North Vancouver,Daycare
Abc Infant Care,48.43822,-123.335303,200.0,"2700 Scott St, Victoria, BC",Victoria,Daycare
Abc Kids World Learning Center,49.271097,-122.790133,163.0,"104-3278 Westwood St, Port Coquitlam, BC",Port Coquitlam,Daycare
Abc Lilypad Kids,50.699153,-119.252309,196.0,"2960 Okanagan Avenue Se, Salmon Arm, BC",Salmon Arm,Daycare
Abc Magic Family Child Care,49.240069,-123.162287,168.0,"2498 35Th Ave W, Vancouver, BC",Vancouver,Daycare
Abc Montessori Children's Centre,49.252191,-123.090416,279.0,"3629 Fraser St, Vancouver, BC",Vancouver,Daycare
Abc University Daycare,49.265648,-123.211945,135.0,"4595 8Th Ave W, Vancouver, BC",Vancouver,Daycare
Abc's & 123 Daycare,53.850574,-122.766492,162.0,"8036 Princeton Cres, Prince George, BC",Prince George,Daycare
Abcd Children’S Centre,49.126692,-122.715194,258.0,"6836 183 St, Surrey, BC",Surrey,Daycare
Abels Adventures Childcare,49.155859,-123.943434,259.0,"484 Park Ave, Nanaimo, BC",Nanaimo,Daycare
Aberdeen Elementary,49.0561523,-122.4272066,295.0,"2975 Bradner Rd, Abbotsford, BC",Abbotsford,Elementary Public School
Aberdeen Elementary,50.642076,-120.3598186,410.0,"2191 Van Horne Dr, Kamloops, BC",Kamloops,Elementary Public School
Aberdeen Hall Preparatory School,49.92725,-119.408161,118.0,"950 Academy Way, Kelowna, BC",Kelowna,Daycare
Aberdeen Hall Preparatory School,49.9351261,-119.4022314,,"950 Academy Way, Kelowna, BC",Kelowna,Elementary-Secondary Independent School
Aberdeen Hills Montessori Preschool / Kindergarten,50.64208,-120.359824,209.0,"2191 Van Horne Dr, Kamloops, BC",Kamloops,Daycare
Able Child Academy Early Learning Ltd,49.247891,-122.833196,222.0,"2200 Austin Ave, Coquitlam, BC",Coquitlam,Daycare
Abm Childcare Center,49.146565,-122.323592,235.0,"32533 Ptarmigan Dr, Mission, BC",Mission,Daycare
Aboriginal Head Start,54.311853,-130.301323,217.0,"313 Prince Rupert Blvd., Prince Rupert, BC",Prince Rupert,Daycare
Abra-Kid-Abra Out Of School Daycare,53.990656,-122.78511,152.0,"6742 Dagg Rd, Prince George, BC",Prince George,Daycare
Absorbent Minds Montessori Ltd.,49.217611,-122.994499,258.0,"7283 Nelson Ave, Burnaby, BC",Burnaby,Daycare
Absorbent Minds Montessori School,49.110734,-122.757394,100.0,"101-5961 168 St, Surrey, BC",Surrey,Daycare
Academics Prekindergarten,49.05993,-122.798034,185.0,"15300 Croydon Dr, Surrey, BC",Surrey,Daycare
Academics Prekindergarten North Vancouver,49.32174,-123.069913,121.0,"163 15Th St E, North Vancouver, BC",North Vancouver,Daycare
Academics Prekindergarten North Vancouver,49.32174,-123.069913,267.0,"163 15Th St E, North Vancouver, BC",North Vancouver,Daycare
Academics Prekindergarten Royal City,49.212385,-122.921146,147.0,"300-628 Sixth Ave, New Westminster, BC",New Westminster,Daycare
Academics Prekindergarten Westwood Inc,49.278638,-122.789515,120.0,"501-1123 Westwood St, Coquitlam, BC",Coquitlam,Daycare
Academics Prekindergarten Yvr,49.189597,-123.141669,172.0,"500-3600 Lysander Lane, Richmond, BC",Richmond,Daycare
Academics Prekindergarten Yvr,49.189597,-123.141669,232.0,"500-3600 Lysander Lane, Richmond, BC",Richmond,Daycare
Acclaim Canada Education & Family Childcare Services,49.24778,-122.861399,200.0,"1104 Charland Ave, Coquitlam, BC",Coquitlam,Daycare
Acekids Daycare,48.44018,-123.470024,253.0,"117-1911 Sooke Rd, Victoria, BC",Victoria,Daycare
Acklen Academy,49.133361,-121.95954,164.0,"7194 Vedder Rd, Chilliwack, BC",Chilliwack,Daycare
Acorn Early Education Centre,49.338533,-123.135816,122.0,"1525 Taylor Way, West Vancouver, BC",West Vancouver,Daycare
Acorn Early Education Centre,49.338533,-123.135816,167.0,"1525 Taylor Way, West Vancouver, BC",West Vancouver,Daycare
Acorn Studio,49.226991,-124.057778,194.0,"6037 Wardun Dr, Nanaimo, BC",Nanaimo,Daycare
Acorn To Oaks Academy,49.162545,-123.123732,220.0,"9080 Granville Ave, Richmond, BC",Richmond,Daycare
Acorn To Oaks Academy Group 2,49.162545,-123.123527,190.0,"9120 Granville Ave, Richmond, BC",Richmond,Daycare
Acorn-Eight Oaks Day Care Centre,49.252465,-123.115582,125.0,"103 3637 Cambie St, Vancouver, BC",Vancouver,Daycare
Acre Wood Daycare And Early Learning Incorporated,48.649997,-123.402554,247.0,"201-9842 Resthaven Dr, Sidney, BC",Sidney,Daycare
Acre Wood Daycare And Early Learning Incorportated,48.64966,-123.396879,316.0,"103-9830 Second St, Sidney, BC",Sidney,Daycare
Acre Wood Daycare And Learning Inc.,48.649584,-123.401167,148.0,"108 - 2360 Beacon Ave, Sidney, BC",Sidney,Daycare
Activa's Children Studio Daycare,49.234771,-123.029147,149.0,"4-3560 Euclid Ave, Vancouver, BC",Vancouver,Daycare
Active Little Angels Family Child Care,49.259453,-123.088821,137.0,"708 12Th Ave E, Vancouver, BC",Vancouver,Daycare
Active Minds Academy Inc,49.134998,-123.146544,140.0,"10680 Monashee Dr, Richmond, BC",Richmond,Daycare
Acwsalcta Band School,52.3639307,-126.7106572,,"PO Box 778, Bella Coola, BC",Bella Coola,Elementary-Secondary Independent School
Adam Robertson Elementary,49.1011171,-116.5149985,495.0,"421 9 Ave N, Creston, BC",Creston,Elementary Public School
Adams Road Elementary,49.1257788,-122.7174506,530.0,"18228 68 Ave, Surrey, BC",Surrey,Elementary Public School
Adams Road ymca Kids Club,49.125779,-122.717451,158.0,"18228 68 Ave, Surrey, BC",Surrey,Daycare
Admiral Seymour Elementary,49.2786789,-123.0802888,445.0,"1130 Keefer St, Vancouver, BC",Vancouver,Elementary Public School
Adorable Smile Family Childcare,49.102751,-116.512525,105.0,"1017 Ibbitson St, Creston, BC",Creston,Daycare
Adrianne's Little Critters Family Daycare,53.899174,-122.803551,195.0,"4245 Paschal Pl, Prince George, BC",Prince George,Daycare
Adult Education SD#23,49.8813048,-119.4868157,,"1825 Richter St, Kelowna, BC",Kelowna,Senior Secondary Public School
Adult Learning Centre,48.7858758,-123.7166145,,"1033 Nagle St, Duncan, BC",Duncan,Senior Secondary Public School
Adventure Awaits Childcare Inc.,48.420539,-123.488181,186.0,"3326 Painter Rd, Victoria, BC",Victoria,Daycare
Adventure Childcare Centre,49.13767,-122.29056,200.0,"33724 5Th Ave, Mission, BC",Mission,Daycare
Adventure Daycare,49.674475,-124.98058,213.0,"2785A Mansfield Dr, Courtenay, BC",Courtenay,Daycare
Adventure Daycare Society,49.62364,-125.036048,199.0,"3376 Egremont Rd, Cumberland, BC",Cumberland,Daycare
Adventure Daycare/Adventure Forest School Inc.,49.619897,-125.031311,223.0,"2688 Penrith Ave, Cumberland, BC",Cumberland,Daycare
Adventure Explorer Childcare Centre,49.222437,-122.588011,248.0,"12125 229 St, Maple Ridge, BC",Maple Ridge,Daycare
Adventure House Early Learning Childcare,49.224974,-122.921903,223.0,"8187 12Th Ave, Burnaby, BC",Burnaby,Daycare
Adventure Island Childcare,48.485206,-123.327544,278.0,"4355 Okano Pl, Victoria, BC",Victoria,Daycare
Adventure Junction Early Learning Centre,49.928784,-119.437893,338.0,"102 Snowsell St N, Kelowna, BC",Kelowna,Daycare
Adventure Time Childcare,53.973602,-122.767518,149.0,"14-5164 Hart Hwy, Prince George, BC",Prince George,Daycare
Adventures Daycare,49.102863,-121.941499,248.0,"5539 Teskey Pl, Chilliwack, BC",Chilliwack,Daycare
Adventures On Aros Child Care Centre,48.701241,-123.554389,168.0,"739 Aros Rd, Cobble Hill, BC",Cobble Hill,Daycare
Ae Perry Childcare,50.70431,-120.376426,171.0,"1380 Sherbrooke Ave, Kamloops, BC",Kamloops,Daycare
Aerie Early Care And Learning Centre,48.446472,-123.489888,257.0,"121-612 Goldstream Ave, Victoria, BC",Victoria,Daycare
After School Adventures With Gemma,49.02531,-122.78023,110.0,"15974 Prospect Cres, White Rock, BC",White Rock,Daycare
After School Kids Klub - Beban Park,49.196591,-123.991576,128.0,"2300 Bowen Rd, Nanaimo, BC",Nanaimo,Daycare
After School Warriors Child Care Inc,49.219689,-122.592854,179.0,"22712 Dewdney Trunk Rd, Maple Ridge, BC",Maple Ridge,Daycare
Agape Daycare,49.515895,-115.752014,170.0,"2100 4Th St N, Cranbrook, BC",Cranbrook,Daycare
Agassiz Centre for Education,49.2370771,-121.7639315,,"PO Box 69, Agassiz, BC",Agassiz,Secondary Public School
Agassiz Christian Preschool,49.236275,-121.750301,224.0,"7571 Morrow Rd, Agassiz, BC",Agassiz,Daycare
Agassiz Christian School,49.2362791,-121.7503026,,"7571 Morrow Rd, Agassiz, BC",Agassiz,Elementary Independent School
Agassiz Elem-Secondary,49.2370771,-121.7639315,525.0,"PO Box 1100, Agassiz, BC",Agassiz,Elementary-Secondary Public School
Agassiz/Harrison Childcare Centres Inc,49.298194,-121.783898,159.0,"501 Hot Springs Rd, Harrison Hot Springs, BC",Harrison Hot Springs,Daycare
Agassiz/Harrison Preschool & Childcare Centers,49.240246,-121.778609,120.0,"6660 Pioneer Ave, Agassiz, BC",Agassiz,Daycare
Agassiz/Harrison Preschool And Child Care Centres Inc.,49.234137,-121.758401,91.0,"7285 Mccullough Rd, Agassiz, BC",Agassiz,Daycare
Agnes L Mathers Elementary Secondary,53.2362841,-131.8085007,70.0,"PO Box 227, Sandspit, BC",Sandspit,Elementary Public School
Ahp Matthew Preschool,49.179063,-122.852492,178.0,"13367 97Th Ave, Surrey, BC",Surrey,Daycare
Aida Place,49.279853,-123.133152,298.0,"102-1122 Burnaby St, Vancouver, BC",Vancouver,Daycare
Aida's Daycare,49.74575,-123.12988,172.0,"1010 Windsor Pl, Garibaldi Highlands, BC",Garibaldi Highlands,Daycare
Aim Smart Childcare Centre,49.132641,-122.845916,211.0,"7153 King George Blvd, Surrey, BC",Surrey,Daycare
Aird's Kidzone Learning Centre Ltd,49.025687,-123.084461,200.0,"5025 12 Ave, Delta, BC",Delta,Daycare
Airport Elementary,49.7095003,-124.9143757,360.0,"PO Box 40, Lazo, BC",Lazo,Elementary Public School
Aj Family Child Care,49.955147,-125.213137,185.0,"262 Maryland Rd, Campbell River, BC",Campbell River,Daycare
Akasha's Littlest Explorers Daycare,49.682789,-125.027258,251.0,"208A Archery Cres, Courtenay, BC",Courtenay,Daycare
Akram's Daycare,49.327657,-123.06022,43.0,"2021 Moody Ave, North Vancouver, BC",North Vancouver,Daycare
Al-Hidayah School,49.2029618,-122.9074308,,"7 - 6th St, New Westminster, BC",New Westminster,Elementary Independent School
Al-Mustafa Junior Kindergarten,49.101506,-122.87482,244.0,"5441 125A St, Surrey, BC",Surrey,Daycare
Al-Mustafa School,49.1015058,-122.8748204,,"5441 125a Street, Surrey, BC",Surrey,Elementary Independent School
Alberni District Secondary,49.2535034,-124.7946809,1150.0,"4000 Roger St, Port Alberni, BC",Port Alberni,Secondary Public School
Alberni Elementary,49.2609342,-124.8064447,500.0,"4645 Helen St, Port Alberni, BC",Port Alberni,Elementary Public School
Albert McMahon Elementary,49.1556023,-122.314526,490.0,"32865 Cherry Ave, Mission, BC",Mission,Elementary Public School
Albion Active Kids Club,49.185102,-122.558349,105.0,"10031 240Th St, Maple Ridge, BC",Maple Ridge,Daycare
Albion Elementary,49.1850978,-122.5583758,465.0,"10031 240th St, Maple Ridge, BC",Maple Ridge,Elementary Public School
Aldergrove Christian Academy,49.0536135,-122.4965075,,"26245 28th Ave, Aldergrove, BC",Aldergrove,Elementary Independent School
Aldergrove Community Secondary,49.0538514,-122.48118,1100.0,"26850 29 Ave, Aldergrove, BC",Aldergrove,Secondary Public School
Aldergrove Daycare Centre,49.055532,-122.48278,113.0,"26770 29 Ave, Aldergrove, BC",Aldergrove,Daycare
Alderson Elementary,49.2392085,-122.8749284,240.0,"825 Gauthier Ave, Coquitlam, BC",Coquitlam,Elementary Public School
Alderson ymca Kids Club,49.239211,-122.874935,183.0,"825 Gauthier Ave, Coquitlam, BC",Coquitlam,Daycare
Alderwood House Heron 3 To 5 Daycare,49.184624,-123.090269,229.0,"12091 Cambie Rd, Richmond, BC",Richmond,Daycare
Alderwood House Heron It Class,49.184624,-123.090269,240.0,"12091 Cambie Rd, Richmond, BC",Richmond,Daycare
Alderwood House Heron School Aged Care,49.184624,-123.090269,194.0,"12091 Cambie Rd, Richmond, BC",Richmond,Daycare
Alderwood House School - Southlands,49.228359,-123.1852,255.0,"6426 Dunbar St, Vancouver, BC",Vancouver,Daycare
Alderwood House School Sandpiper,49.139457,-123.188606,169.0,"10111 Fourth Ave, Richmond, BC",Richmond,Daycare
Alderwood House School Sandpiper,49.139457,-123.188606,277.0,"10111 Fourth Ave, Richmond, BC",Richmond,Daycare
Alegria Childcare,49.273919,-122.756604,186.0,"3433 Coast Meridian Rd, Port Coquitlam, BC",Port Coquitlam,Daycare
Alert Bay Elementary,50.5811961,-126.9194799,150.0,"PO Box 29, Alert Bay, BC",Alert Bay,Elementary Public School
Alex Aitken,48.7950923,-123.6938813,245.0,"2494 Roome Rd, North Cowichan, BC",North Cowichan,Elementary Public School
Alex Hope Elementary,49.1566784,-122.6360255,565.0,"21150 85 Ave, Langley, BC",Langley,Elementary Public School
Alex House Children's Centre At Coast Meridian,49.152419,-122.754981,212.0,"8222 168A St, Surrey, BC",Surrey,Daycare
Alex House Children's Centre At Elgin Centre,49.065884,-122.822592,251.0,"3530 144 St, Surrey, BC",Surrey,Daycare
Alex House Children's Centre At Henry Bose,49.121701,-122.850794,176.0,"6550 134 St, Surrey, BC",Surrey,Daycare
Alex House Children's Centre At Katzie,49.129053,-122.684363,104.0,"6887 194A St, Surrey, BC",Surrey,Daycare
Alex House Children's Centre At Northridge,49.115251,-122.849012,194.0,"13460 62 Ave, Surrey, BC",Surrey,Daycare
Alex House Children's Centre At Ta'talu,49.037261,-122.764022,145.0,"1970 165A Street, Surrey, BC",Surrey,Daycare
Alex House Children's Centre At Walnut Road,49.1517,-122.773619,238.0,"16152 82 Ave, Surrey, BC",Surrey,Daycare
Alexander Academy,49.2846321,-123.1134223,,"570 Dunsmuir St Suite 400, Vancouver, BC",Vancouver,Secondary Independent School
Alexander Elementary,48.7858576,-123.6927176,390.0,"2471 Beverly St, North Cowichan, BC",North Cowichan,Elementary Public School
Alexander Elementary,49.0424287,-122.2876476,295.0,"2250 Lobban Rd, Abbotsford, BC",Abbotsford,Elementary Public School
Alexander Park Elementary,51.2951161,-116.9524763,220.0,"PO Box 464, Golden, BC",Golden,Elementary Public School
Alexander Robinson Elementary,49.2175025,-122.5623165,515.0,"11849 238b St, Maple Ridge, BC",Maple Ridge,Elementary Public School
Alexandra Neighbourhood House Children's Centre @ White Rock,49.024814,-122.799759,250.0,"1273 Fir St, White Rock, BC",White Rock,Daycare
Alexandra Neighbourhood House Children's Centre At Don Chris,49.115312,-122.712285,198.0,"6220 184 St, Surrey, BC",Surrey,Daycare
